"Rangkuman Posisi Terbuka"
"","Nama","Simbol","Bursa","Jenis","Jumlah","Harga Rata-Rata","Hrg Skrg","Perpanjangan Waktu","Perpanjangan Waktu (%)","Sblm.","Nilai Pasar","Komisi","Bobot","P/L Harian","P/L Harian %","P/L Bersih%","P/L Bersih","Tanggal Penghasilan Berikutnya","Bursa","Terakhir","Bid","Ask","Perpanjangan Waktu","Perpanjangan Waktu (%)","Pembukaan","Sblm.","Tertinggi","Terendah","Prb.","Prb.%","Vol.","Tanggal Penghasilan Berikutnya","Waktu","Market Cap","Pendapatan","Vol.Rata-Rata (3bln)","EPS","Rasio P/E","Beta","Dividen","Imbal Hasil","5 Menit","15 Menit","30 Menit","Per Jam","5 Jam","Harian","Mingguan","Bulanan","Harian","1 Minggu","1 Bulan","YTD","1 Tahun","3 Tahun"

"Nilai Pasar","Rp0,00"
"P/L Terbuka","Rp0,00 / 0,00%"
"P/L Harian","Rp45.412.277.493.641.632,00 / 0,07%"
"P/L Total","Rp49.209.964.644.144.864,00"


"Posisi Terbuka"
"","Nama","Simbol","Bursa","Tgl Buka","Jenis","Jumlah","Harga Pembukaan","Hrg Skrg","Perpanjangan Waktu","Perpanjangan Waktu (%)","Sblm.","Nilai Pasar","Komisi","P/L Bersih%","Bobot","P/L Harian","P/L Harian %","P/L Bersih","Tanggal Penghasilan Berikutnya"


"Posisi Tertutup"
"","Nama","Simbol","Bursa","Tanggal Pembukaan","Jenis","Jumlah","Harga Pembukaan","Tanggal Penutupan","Harga Penutupan","Untung%","P/L Bersih"
"","Bitcoin","BTC/USD","Investing.com","03/22/2021","Jual","100000.00000000","57.013,0","03/22/2021","57.030,8","-0,03%","-Rp25.623.186.370,00"
"","BTC/USD","BTC/USD","Bitfinex","03/22/2021","Jual","200000.00000000","57.095,0","03/22/2021","57.057,0","6,66%","Rp109.401.999.999,93"
"","Bitcoin","BTC/USD","Investing.com","03/22/2021","Jual","300000.00000000","57.020,2","03/22/2021","57.019,8","0,00%","Rp1.727.256.049,97"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/22/2021","Beli","1000000.00000000","837.511.353","03/22/2021","838.749.893","0,15%","Rp1.238.539.999.000,00"
"","Bitcoin","BTC/USD","Investing.com","03/22/2021","Jual","100000.00000000","56.892,2","03/22/2021","56.975,0","-0,15%","-Rp119.190.729.555,00"
"","Bitcoin","BTC/USD","Investing.com","03/22/2021","Jual","100000.00000000","56.856,8","03/22/2021","56.975,0","-0,21%","-Rp170.149.015.160,00"
"","Bitcoin","BTC/USD","Investing.com","03/22/2021","Jual","100000.00000000","56.910,0","03/22/2021","56.971,0","-0,11%","-Rp87.809.643.950,00"
"","BTC/IDR","BTC/IDR","Luno","03/22/2021","Jual","10000.00000000","835.834.000","03/22/2021","833.039.000","16,72%","Rp27.949.990.000,00"
"","Bitcoin","BTC/USD","Investing.com","03/22/2021","Jual","64000.00000000","56.857,5","03/22/2021","56.937,2","-0,14%","-Rp73.426.159.950,00"
"","BTC/IDR","BTC/IDR","Luno","03/22/2021","Jual","10000.00000000","835.000.000","03/22/2021","833.039.000","11,74%","Rp19.609.999.000,00"
"","BTC/IDR","BTC/IDR","Luno","03/22/2021","Jual","10000.00000000","835.834.000","03/22/2021","835.000.000","9,98%","Rp8.339.990.000,00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/22/2021","Beli","64000.00000000","838.557.000","03/22/2021","838.556.000","-0,01%","-Rp64.010.000,00"
"","BTC/IDR","BTC/IDR","Luno","03/22/2021","Jual","64000.00000000","835.835.000","03/22/2021","836.440.000","-7,24%","-Rp38.720.010.000,00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/22/2021","Jual","64000.00000000","837.005.000","03/22/2021","838.998.000","-23,81%","-Rp127.552.010.000,00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/22/2021","Jual","64000.00000000","837.030.000","03/22/2021","838.557.000","-18,24%","-Rp97.728.010.000,00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/22/2021","Jual","64000.00000000","838.471.000","03/22/2021","837.005.000","8,74%","Rp93.823.990.000,00"
"","Bitcoin","BTC/USD","Investing.com","03/22/2021","Beli","100000.00000000","56.479,0","03/22/2021","56.932,5","0,80%","Rp652.813.235.605,00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/22/2021","Jual","100000.00000000","835.312.000","03/22/2021","838.496.000","-38,12%","-Rp318.400.010.000,00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/22/2021","Jual","64000.00000000","836.722.000","03/22/2021","838.496.000","-21,20%","-Rp113.536.010.000,00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/22/2021","Jual","64000.00000000","838.455.000","03/22/2021","838.496.000","-0,49%","-Rp2.624.010.000,00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/22/2021","Jual","100000.00000000","838.865.000","03/22/2021","839.000.000","-0,02%","-Rp13.500.010.000,00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/22/2021","Jual","64000.00000000","839.705.000","03/22/2021","839.313.000","4,67%","Rp25.087.990.000,00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/22/2021","Jual","100000.00000000","836.725.000","03/22/2021","835.004.000","0,21%","Rp172.099.990.000,00"
"","Indeks Bitcoin Euro","BTC/EUR","Investing.com","03/22/2021","Beli","1000000.00000000","47.653,7","03/22/2021","47.660,9","0,02%","Rp122.844.222.938,37"
"","Bank Central Asia","BBCA.JK","JK","03/22/2021","Jual","3000000.00000000","33.800","03/22/2021","33.200","1,78%","Rp1.799.999.990,00"
"","Indeks Bitcoin Euro","BTC/EUR","Investing.com","03/22/2021","Beli","1000000.00000000","47.676,5","03/22/2021","47.683,4","0,01%","Rp117.725.627.629,83"
"","BTC/XAU","BTC/XAU","Synthetic","03/21/2021","Beli","800.00000000","32,4272","03/21/2021","32,4177","-0,03%","-Rp1.889.881,36"
"","BTC/XAU","BTC/XAU","Synthetic","03/21/2021","Jual","100.00000000","32,1909","03/21/2021","32,1765","22,37%","Rp357.908,72"
"","BTC/IDR","BTC/IDR","Luno","03/21/2021","Beli","100.00000000","824.300.000","03/21/2021","825.440.000","69,15%","Rp113.982.852,30"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/21/2021","Beli","100.00000000","828.824.491","03/21/2021","828.766.460","-0,01%","-Rp5.804.100,00"
"","BTC/XAU","BTC/XAU","Synthetic","03/21/2021","Jual","1000.00000000","32,2123","03/21/2021","32,1616","78,70%","Rp12.607.249,35"

"P/L Tertutup","Rp49.209.964.644.144.864,00"


